Date= seg 27 dez 2021 19:46:04 -03
Folder=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap
SubFolder=iedir/mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr
Gold File=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/ie_dirs/mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr/gold_mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr-train_FIT-en-pt-es-fr-eval.txt
Predict File=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/ie_dirs/mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr/predict_mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr-train_FIT-en-pt-es-fr-eval_1_true_1-step-step.txt
Database=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/data/spider-FIT-en-pt-es-fr/database
Type=match
Command example:
python3 evaluation.py --gold=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/ie_dirs/mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr/gold_mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr-train_FIT-en-pt-es-fr-eval.txt --pred=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/ie_dirs/mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr/predict_mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr-train_FIT-en-pt-es-fr-eval_1_true_1-step150300.txt --db=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/data/spider-FIT-en-pt-es-fr/database --table=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/data/spider-FIT-en-pt-es-fr/tables.json --etype match --plug_value |& tee /mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/ie_dirs/mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr/spider_eval_match_ratsqlgap-mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval-step150300.txt
====================== EXACT MATCHING ACCURACY =====================
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr - - - count 992 1784 696 664 4136
Train_Infer checkpoint type type easy medium hard extra all
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 72100 exact match 0.849 0.652 0.487 0.414 0.633
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 73100 exact match 0.894 0.692 0.480 0.432 0.663
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 74100 exact match 0.863 0.716 0.513 0.425 0.670
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 75100 exact match 0.863 0.688 0.496 0.431 0.656
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 76100 exact match 0.847 0.712 0.474 0.410 0.656
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 77100 exact match 0.874 0.693 0.530 0.461 0.672
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 78100 exact match 0.870 0.695 0.487 0.410 0.656
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 79100 exact match 0.817 0.675 0.532 0.414 0.643
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 80100 exact match 0.853 0.682 0.519 0.444 0.657
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 81100 exact match 0.852 0.682 0.489 0.447 0.652
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 82100 exact match 0.859 0.708 0.513 0.458 0.671
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 83100 exact match 0.873 0.684 0.519 0.437 0.662
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 84100 exact match 0.851 0.728 0.523 0.423 0.674
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 85100 exact match 0.865 0.710 0.526 0.428 0.671
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 86100 exact match 0.888 0.712 0.533 0.465 0.684
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 87100 exact match 0.859 0.710 0.520 0.398 0.663
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 88100 exact match 0.889 0.713 0.510 0.395 0.670
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 89100 exact match 0.858 0.688 0.500 0.395 0.650
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 90100 exact match 0.868 0.703 0.533 0.431 0.670
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 91100 exact match 0.865 0.711 0.506 0.420 0.667
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 92100 exact match 0.864 0.715 0.568 0.435 0.681
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 93100 exact match 0.866 0.704 0.530 0.417 0.668
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 94100 exact match 0.879 0.711 0.537 0.399 0.672
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 95100 exact match 0.862 0.698 0.522 0.417 0.662
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 96100 exact match 0.877 0.703 0.501 0.396 0.662
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 97100 exact match 0.860 0.706 0.537 0.414 0.668
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 98100 exact match 0.869 0.714 0.539 0.378 0.668
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 99100 exact match 0.856 0.730 0.530 0.443 0.680
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 100100 exact match 0.868 0.725 0.519 0.407 0.673
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 101100 exact match 0.878 0.710 0.524 0.398 0.669
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 102100 exact match 0.879 0.747 0.506 0.401 0.682
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 103100 exact match 0.863 0.697 0.497 0.405 0.656
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 104100 exact match 0.861 0.724 0.522 0.381 0.668
